num_files,num_permissions,num_providers,file_size_kb,num_intents,total_methods,num_services,version_code,has_native_code,num_receivers,num_activities,label
947.0,11.0,2.0,3666.9228515625,3.0,29524.0,6.0,1078.0,0.0,5.0,11.0,0
297.0,0.0,0.0,780.611328125,3.0,45.0,0.0,512.0,0.0,0.0,1.0,0
190.0,3.0,0.0,2019.7490234375,3.0,30071.0,0.0,18.0,0.0,0.0,8.0,0
526.0,12.0,0.0,51003.953125,3.0,28313.0,2.0,103.0,1.0,4.0,6.0,0
580.0,7.0,1.0,4270.7119140625,4.0,40809.0,0.0,53.0,0.0,1.0,12.0,0
809.0,2.0,0.0,4190.2060546875,3.0,31325.0,0.0,7.0,0.0,0.0,241.0,0
1063.0,11.0,0.0,6163.6435546875,9.0,58915.0,4.0,17.0,0.0,7.0,16.0,0
190.0,3.0,0.0,3436.052734375,2.0,26121.0,0.0,1.0,0.0,0.0,6.0,0
1089.0,17.0,1.0,23915.1806640625,0.0,57533.0,6.0,2037.0,1.0,4.0,31.0,0
1319.0,2.0,0.0,33618.791015625,2.0,12792.0,0.0,3.0,1.0,0.0,5.0,0
836.0,10.0,1.0,3438.7607421875,7.0,23907.0,5.0,10000017.0,0.0,2.0,12.0,0
675.0,5.0,0.0,7572.2392578125,8.0,14028.0,5.0,93.0,1.0,1.0,26.0,0
10.0,2.0,0.0,80.5615234375,2.0,151.0,0.0,13.0,1.0,0.0,1.0,0
1602.0,23.0,1.0,14490.966796875,5.0,86615.0,2.0,272.0,0.0,5.0,38.0,0
597.0,8.0,0.0,12817.2744140625,3.0,51545.0,3.0,45.0,1.0,6.0,20.0,0
456.0,6.0,2.0,8871.2978515625,7.0,12987.0,3.0,1702020.0,0.0,4.0,29.0,0
222.0,0.0,0.0,2258.0546875,2.0,448.0,0.0,2.0,0.0,0.0,3.0,0
29.0,7.0,0.0,3340.5068359375,6.0,4939.0,0.0,1.0,0.0,0.0,6.0,0
354.0,3.0,0.0,2602.794921875,2.0,28326.0,0.0,2.0,0.0,0.0,4.0,0
253.0,5.0,0.0,5739.4287109375,2.0,40863.0,0.0,5.0,0.0,0.0,6.0,0
477.0,7.0,1.0,18628.15234375,5.0,20675.0,0.0,1238461.0,1.0,1.0,27.0,0
498.0,11.0,0.0,15015.5126953125,3.0,30950.0,2.0,2.0,1.0,0.0,5.0,0
1337.0,8.0,1.0,4867.375,8.0,46226.0,2.0,15.0,0.0,4.0,12.0,0
1748.0,15.0,0.0,7401.869140625,3.0,42342.0,2.0,33.0,0.0,3.0,16.0,0
2596.0,29.0,6.0,14006.2548828125,14.0,103001.0,37.0,6374.0,0.0,39.0,61.0,0
228.0,2.0,0.0,1402.78515625,2.0,21792.0,0.0,28.0,0.0,0.0,3.0,0
1395.0,14.0,0.0,36742.630859375,2.0,60394.0,2.0,114763.0,1.0,3.0,33.0,0
170.0,6.0,0.0,23622.1533203125,2.0,49990.0,0.0,1000004.0,1.0,0.0,8.0,0
91.0,4.0,0.0,15680.46484375,3.0,3832.0,0.0,4000000.0,1.0,0.0,1.0,0
910.0,11.0,1.0,5418.4208984375,3.0,38625.0,5.0,401707032.0,0.0,5.0,6.0,0
587.0,2.0,0.0,4619.1162109375,2.0,45614.0,0.0,1.0,0.0,0.0,6.0,0
1756.0,10.0,1.0,5865.17578125,7.0,31082.0,8.0,229.0,0.0,10.0,80.0,0
4159.0,5.0,0.0,19086.73828125,2.0,5290.0,0.0,113.0,0.0,0.0,6.0,0
566.0,7.0,0.0,6661.1640625,2.0,55947.0,2.0,1.0,0.0,1.0,12.0,0
394.0,6.0,0.0,47829.455078125,2.0,38936.0,1.0,1002003.0,1.0,0.0,9.0,0
2891.0,9.0,1.0,15222.1767578125,5.0,99833.0,15.0,542.0,1.0,8.0,93.0,0
222.0,0.0,0.0,1963.6875,2.0,448.0,0.0,3.0,0.0,0.0,3.0,0
2206.0,15.0,2.0,45694.640625,7.0,58568.0,5.0,43002.0,1.0,8.0,23.0,0
1655.0,9.0,2.0,19162.5029296875,2.0,110044.0,3.0,100.0,1.0,5.0,64.0,0
664.0,8.0,0.0,4601.298828125,2.0,53938.0,1.0,33.0,1.0,1.0,29.0,0
118.0,7.0,1.0,32381.267578125,2.0,10867.0,1.0,5.0,1.0,1.0,4.0,0
1206.0,12.0,2.0,4977.0732421875,5.0,42522.0,2.0,90.0,0.0,2.0,4.0,0
2622.0,14.0,1.0,13729.8955078125,8.0,68355.0,5.0,179.0,1.0,14.0,82.0,0
625.0,3.0,0.0,2743.6455078125,2.0,23421.0,0.0,10403.0,0.0,0.0,1.0,0
199.0,5.0,0.0,1005.2763671875,2.0,4599.0,0.0,12.0,0.0,0.0,9.0,0
706.0,26.0,2.0,8706.41796875,0.0,42153.0,4.0,147.0,1.0,7.0,37.0,0
5828.0,19.0,2.0,23111.5869140625,12.0,115095.0,38.0,222.0,0.0,31.0,68.0,0
1017.0,9.0,1.0,6061.8310546875,12.0,40170.0,4.0,16.0,0.0,2.0,19.0,0
