total_methods,version_code,file_size_kb,num_files,num_receivers,num_intents,num_services,num_permissions,num_activities,has_native_code,num_providers,label
29524.0,1078.0,3666.9228515625,947.0,5.0,3.0,6.0,11.0,11.0,0.0,2.0,0
45.0,512.0,780.611328125,297.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0
30071.0,18.0,2019.7490234375,190.0,0.0,3.0,0.0,3.0,8.0,0.0,0.0,0
28313.0,103.0,51003.953125,526.0,4.0,3.0,2.0,12.0,6.0,1.0,0.0,0
40809.0,53.0,4270.7119140625,580.0,1.0,4.0,0.0,7.0,12.0,0.0,1.0,0
31325.0,7.0,4190.2060546875,809.0,0.0,3.0,0.0,2.0,241.0,0.0,0.0,0
58915.0,17.0,6163.6435546875,1063.0,7.0,9.0,4.0,11.0,16.0,0.0,0.0,0
26121.0,1.0,3436.052734375,190.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0
57533.0,2037.0,23915.1806640625,1089.0,4.0,0.0,6.0,17.0,31.0,1.0,1.0,0
12792.0,3.0,33618.791015625,1319.0,0.0,2.0,0.0,2.0,5.0,1.0,0.0,0
23907.0,10000017.0,3438.7607421875,836.0,2.0,7.0,5.0,10.0,12.0,0.0,1.0,0
14028.0,93.0,7572.2392578125,675.0,1.0,8.0,5.0,5.0,26.0,1.0,0.0,0
151.0,13.0,80.5615234375,10.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0
86615.0,272.0,14490.966796875,1602.0,5.0,5.0,2.0,23.0,38.0,0.0,1.0,0
51545.0,45.0,12817.2744140625,597.0,6.0,3.0,3.0,8.0,20.0,1.0,0.0,0
12987.0,1702020.0,8871.2978515625,456.0,4.0,7.0,3.0,6.0,29.0,0.0,2.0,0
448.0,2.0,2258.0546875,222.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0
4939.0,1.0,3340.5068359375,29.0,0.0,6.0,0.0,7.0,6.0,0.0,0.0,0
28326.0,2.0,2602.794921875,354.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0
40863.0,5.0,5739.4287109375,253.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,0
20675.0,1238461.0,18628.15234375,477.0,1.0,5.0,0.0,7.0,27.0,1.0,1.0,0
30950.0,2.0,15015.5126953125,498.0,0.0,3.0,2.0,11.0,5.0,1.0,0.0,0
46226.0,15.0,4867.375,1337.0,4.0,8.0,2.0,8.0,12.0,0.0,1.0,0
42342.0,33.0,7401.869140625,1748.0,3.0,3.0,2.0,15.0,16.0,0.0,0.0,0
103001.0,6374.0,14006.2548828125,2596.0,39.0,14.0,37.0,29.0,61.0,0.0,6.0,0
21792.0,28.0,1402.78515625,228.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0
60394.0,114763.0,36742.630859375,1395.0,3.0,2.0,2.0,14.0,33.0,1.0,0.0,0
49990.0,1000004.0,23622.1533203125,170.0,0.0,2.0,0.0,6.0,8.0,1.0,0.0,0
3832.0,4000000.0,15680.46484375,91.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0
38625.0,401707032.0,5418.4208984375,910.0,5.0,3.0,5.0,11.0,6.0,0.0,1.0,0
45614.0,1.0,4619.1162109375,587.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0
31082.0,229.0,5865.17578125,1756.0,10.0,7.0,8.0,10.0,80.0,0.0,1.0,0
5290.0,113.0,19086.73828125,4159.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,0
55947.0,1.0,6661.1640625,566.0,1.0,2.0,2.0,7.0,12.0,0.0,0.0,0
38936.0,1002003.0,47829.455078125,394.0,0.0,2.0,1.0,6.0,9.0,1.0,0.0,0
99833.0,542.0,15222.1767578125,2891.0,8.0,5.0,15.0,9.0,93.0,1.0,1.0,0
448.0,3.0,1963.6875,222.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0
58568.0,43002.0,45694.640625,2206.0,8.0,7.0,5.0,15.0,23.0,1.0,2.0,0
110044.0,100.0,19162.5029296875,1655.0,5.0,2.0,3.0,9.0,64.0,1.0,2.0,0
53938.0,33.0,4601.298828125,664.0,1.0,2.0,1.0,8.0,29.0,1.0,0.0,0
10867.0,5.0,32381.267578125,118.0,1.0,2.0,1.0,7.0,4.0,1.0,1.0,0
42522.0,90.0,4977.0732421875,1206.0,2.0,5.0,2.0,12.0,4.0,0.0,2.0,0
68355.0,179.0,13729.8955078125,2622.0,14.0,8.0,5.0,14.0,82.0,1.0,1.0,0
23421.0,10403.0,2743.6455078125,625.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0
4599.0,12.0,1005.2763671875,199.0,0.0,2.0,0.0,5.0,9.0,0.0,0.0,0
